step,crossentropy,val crossentropy,accuracy,val accuracy,top_k,val top_k
1,189.49450332917812,76.30472033925717,0.1375446529683535,0.038863747553816046,0.23395209826543606,0.06682515899612479
2,86.36884233209719,97.97535352671191,0.15052781220518213,0.040163282778864974,0.2599404652524601,0.07014585372403176
3,98.24145416737537,108.9002627826362,0.15365080319622024,0.035923740215993205,0.2704024503259043,0.0713964652583557
4,91.92553250710326,124.86001414038269,0.1566860424008388,0.03972144080818049,0.2792370786959644,0.07147902396093843
5,82.87885577804656,121.27447779080394,0.16060934998751153,0.04120596868592932,0.2878319532145726,0.07414995107632094
6,42.87961188501108,75.34523209203941,0.17696820517342152,0.042487157534246575,0.3096204902211281,0.07707314091186
7,13.81990313856569,67.75734650329704,0.1927163988322661,0.042777641878669274,0.3330027110247696,0.07789719912520593
8,8.046402710057984,64.49883016307702,0.20243322018191306,0.04291218199900219,0.34596426397153773,0.07826259784735812
9,6.40167756463217,62.79287855812673,0.20808281848633592,0.04292135518007782,0.3525820381487419,0.07846440803514768
10,6.012418849127633,61.88496308558889,0.2102129317222276,0.04299015410375688,0.35443108028744996,0.07877782535413007
