step,crossentropy,val crossentropy,accuracy,val accuracy,top_k,val top_k,f_score,val f_score,preplexite,val preplexite
1,22.680853116152342,5.221306010468365,0.12020565053285968,0.15895226883561644,0.21752886323268206,0.3218107876712329,0.0005304157342282033,0.0005158738345577547,1332.0351486438785,180.58752635385719
2,5.104529683162221,5.067740071309756,0.17671791740674955,0.1799015410958904,0.32694549289520425,0.3274828767123288,0.0005471828030951678,0.0005064927779492119,162.72240869247156,156.58594021311922
3,5.035221987465135,5.040513940053444,0.1823379218472469,0.1832726883561644,0.3315316940497336,0.3309342893835616,0.0006095557400194158,0.0006390368856556637,152.693286918462,152.94808238308156
4,5.0106317425282345,5.012163714186786,0.1857515541740675,0.18846318493150685,0.3357987344582593,0.3366598886986301,0.000678279466331948,0.0007768445658220029,149.07766465087866,148.7369732620237
5,4.994700182818181,5.010026370009331,0.18722940719360567,0.18840967465753425,0.3376235013321492,0.3341716609589041,0.0007409187539651838,0.0008428667672775839,146.71520149511883,148.12332291610107
6,4.971633065022118,4.998879834397198,0.18872807504440497,0.19004173801369864,0.33896258880994673,0.3367669092465753,0.0008012510446970538,0.0008216898205406224,143.6520598910229,146.81732329120712
7,4.965100158806592,5.001290514044566,0.1896022979573712,0.189453125,0.34036412078152756,0.3366598886986301,0.0007924027333088173,0.0007729902897390524,142.74063322539232,147.07809064018133
8,4.962073586126839,4.9995127704045546,0.1901157304618117,0.19004173801369864,0.34069715808170514,0.3372752568493151,0.0008105172797500737,0.0008372221642798961,142.30343331895446,146.71137812219374
9,4.958872322502611,4.998924141060816,0.19033081705150978,0.19087114726027396,0.34111345470692717,0.3374892979452055,0.0008157366604691447,0.0008322986850294935,141.86042113658496,146.49917306445894
10,4.956115838689448,4.996329281428089,0.19081649644760212,0.1914597602739726,0.3412591585257549,0.3379441352739726,0.0008320580384976083,0.0008529409248308495,141.4904381352217,146.0641817391443
11,4.952284138748955,4.997815906184993,0.19102464476021314,0.19140625,0.3417101465364121,0.337623073630137,0.0008442865718333101,0.0008410768009712665,140.9375097192553,146.25505110814038
12,4.948258786176068,4.998016987761406,0.19155889209591473,0.1913527397260274,0.34223051731793963,0.3381046660958904,0.0008547718911808064,0.0008608642363544452,140.38659321941108,146.18375281570277
13,4.944521605015648,4.997684384045535,0.19210007770870338,0.19191459760273974,0.3430631105683837,0.3391213613013699,0.0008574288068475701,0.000869530956787121,139.8729961345138,145.84765629161177
14,4.939510105769969,4.994012035735666,0.193050621669627,0.19194135273972604,0.3436806172291297,0.3390678510273973,0.0008887571877581572,0.0009141294036478391,139.16772448280125,145.3167375071315
15,4.93466631853771,4.9937614708730615,0.1935224245115453,0.19279751712328766,0.3445895315275311,0.3421714469178082,0.0009177482083045297,0.0009182640247697597,138.4791497730242,144.910005983352
16,4.9250588586444755,4.994627560654732,0.1943272646536412,0.19271725171232876,0.34631022424511543,0.3413687928082192,0.0009372324697660087,0.0009555721524720118,137.16815514194678,145.1035881834371
17,4.923146136912317,4.993725084278681,0.19463254884547068,0.1928777825342466,0.346220026642984,0.3417701198630137,0.0009401549236641347,0.0009332888435543681,136.9185920851884,144.93081037723348
18,4.921362595702149,4.994391160468533,0.19477131438721138,0.19271725171232876,0.34649755772646534,0.3418771404109589,0.0009470404306989904,0.0009147438377362025,136.67498575591847,144.97242433809222
19,4.919969832283142,4.9939297845918835,0.19500027753108348,0.1931185787671233,0.3467473357015986,0.3419841609589041,0.0009437147840166045,0.0009380447062702007,136.48623284931625,144.86241441607217
20,4.9190947454733704,4.993428756112921,0.19504190719360567,0.1930383133561644,0.3468722246891652,0.3423587328767123,0.0009432855426837553,0.0009300713176194782,136.36682653956152,144.777804269566
21,4.917990957229641,4.993810591632372,0.19515985790408527,0.1928777825342466,0.3471081261101243,0.3421446917808219,0.0009455926318075607,0.0009088293499351568,136.21410945158323,144.78978477774308
22,4.917151601022344,4.99326889482263,0.1953541296625222,0.1931453339041096,0.3471289409413854,0.3423854880136986,0.0009495267072993581,0.0009348992944443088,136.10491018258432,144.67460755443074
23,4.916087280158251,4.992886272195268,0.1955414631438721,0.1935734160958904,0.34739259547069273,0.3426797945205479,0.0009580104265773096,0.0009152993198232215,135.95837718112222,144.5659294049451
24,4.914708008774644,4.993454358349108,0.19561778419182949,0.1931988441780822,0.34754523756660743,0.3423587328767123,0.0009584084691725453,0.0009387954607070105,135.77474209501847,144.63029305326802
25,4.913498475327161,4.992138000383769,0.19583980905861456,0.1934128852739726,0.3479754107460036,0.342947345890411,0.0009647991777985766,0.000931399132241495,135.60031114332278,144.3890589876158
26,4.9128785658475564,4.993595041640817,0.19581205595026643,0.1934396404109589,0.34805867007104796,0.342947345890411,0.0009568401316754011,0.0009340509124042798,135.52085280394726,144.57177903265762
27,4.911513310766136,4.993437120359238,0.1960895870337478,0.1932523544520548,0.3483570159857904,0.3429205907534247,0.0009667074495862812,0.000920320429068939,135.33572479589324,144.52461291039424
28,4.91050190188745,4.992974088616567,0.19622141429840143,0.1934663955479452,0.34853047291296624,0.3431346318493151,0.0009731774240712343,0.0009320144769209373,135.1997069791113,144.41369243648407
29,4.909366648319983,4.993185004142866,0.19633242673179396,0.1932791095890411,0.3485027198046181,0.3430543664383562,0.0009708863207044785,0.0009356205848409246,135.04746632091803,144.42849565536343
30,4.908610262625171,4.9919709244819535,0.19656138987566607,0.1934396404109589,0.34865536190053287,0.3435359589041096,0.0009669147733847907,0.0009496236289372948,134.94756261555787,144.2263764087899
