step,crossentropy,val crossentropy,accuracy,val accuracy,top_k,val top_k
1,15.55726074005993,5.196925727615642,0.15649847213886023,0.04472082926219224,0.3019814721642175,0.08359833659491193
2,5.205526514762535,5.222720524791475,0.16397872831081925,0.04395639677686934,0.3146725045024999,0.08259998778074455
3,5.200882607010246,5.216004221626882,0.16396975727959623,0.037897504895283984,0.31444273250443594,0.08189059441103627
4,5.19772917370507,5.186330502399344,0.16385010148739396,0.04372095156264165,0.31480744892253804,0.08272841243244664
5,5.18646150092556,5.220219971088881,0.16477639149371426,0.04295499022109635,0.3157988736540837,0.08155424411749419
6,5.114763638744615,5.113463391078992,0.16817546265524194,0.044159735806300913,0.31905769354093333,0.0831656678198835
7,5.079241681238909,5.101286138041636,0.1698517809583716,0.04453736546571474,0.32086440763361535,0.08354788406254494
8,5.071185727408721,5.099920922897282,0.17108971936128844,0.044739175638923906,0.321912122361814,0.08373899218387566
9,5.068395839978571,5.090120504857896,0.17147781099183684,0.04483702299121308,0.3223600418775282,0.08384295499021527
10,5.065803653806623,5.092640808905555,0.17173184264895966,0.044853840511722344,0.32243869630091343,0.08384295499021527
