step,crossentropy,val crossentropy,accuracy,val accuracy,top_k,val top_k,f_score,val f_score
1,47.14863075575483,16.461462585220623,0.1442725433003879,0.04029017857434465,0.25813419341224514,0.0731347847416443,0.000388804218301699,8.794841695284843e-05
2,15.183616933057452,15.316353678256831,0.1565938682647134,0.04185573629845379,0.285998199725571,0.07659001957530379,0.00036520534146594434,9.010948469202123e-05
3,14.444370460136996,14.065516059318286,0.15649935661463354,0.04194593934047012,0.29116709002543334,0.07782687133072407,0.0003566043165088868,9.047110404280686e-05
4,12.485352633750601,12.720668292670661,0.15960927013081813,0.042415300883542305,0.29811489687040593,0.07907901173585082,0.00036155940966697505,9.108248134617514e-05
5,11.982960530223211,12.166762276981654,0.15810466483381164,0.04224406800245586,0.29894768602694083,0.0789949241624653,0.00034909841447108137,8.936553205105562e-05
6,8.064163897602059,8.265852965665667,0.16522077315736658,0.04313386741974582,0.3101799789881753,0.08096104452054795,0.00037726309067474443,8.935616241172029e-05
7,5.518747857872054,7.902186281225655,0.1701184478670417,0.04361698874172166,0.3190616736673329,0.08162610078277886,0.00044074419310859565,9.163701454010736e-05
8,5.185292920954307,7.77389832114459,0.17383226304663138,0.043665912432446635,0.323057886614025,0.08174688110962773,0.0004975066143860348,9.053396347544745e-05
9,5.113846950335045,7.673919713452515,0.17512150054137768,0.043708720639960404,0.32446267346463326,0.08183249755381605,0.000516879214135631,9.14123975270867e-05
10,5.089996785333712,7.667088597901305,0.17579818123299082,0.04376375978473581,0.32539250134488606,0.08189823875046989,0.0005321372629014808,9.150199549169682e-05
