step,crossentropy,val crossentropy,accuracy,val accuracy,top_k,val top_k,f_score,val f_score,preplexite,val preplexite
1,148.54988923985908,54.90040699965289,0.12703737209663324,0.037117177686581376,0.20283581216073204,0.056914127966825,0.0011676907742836477,0.0003540196730747013,1.0011683727905913,1.0003540823454347
2,30.984025229798988,22.734208515712194,0.15755605724052335,0.04198336199665746,0.2592929555697644,0.07074392687344382,0.0014718430445893628,0.00031572066102769717,1.0014729267371731,1.0003157705060413
3,13.642207948874075,14.09269127878202,0.1740502103740442,0.04485349195963102,0.2988609382024048,0.0766875240819674,0.001431801260962128,0.0002880770653644775,1.0014328267777746,1.000288118563547
4,8.570581312720657,10.843181532256457,0.18505626615691692,0.046119571894618634,0.3251257121351594,0.07989287709302091,0.0015361925843213058,0.0002719411663199174,1.0015373731325885,1.0002719781456708
5,6.626100291597083,9.296008301430009,0.19497641989736691,0.047798434127095744,0.34379257769026655,0.08325586177355854,0.001770361319823349,0.0002754394169661533,1.0017719293346057,1.0002754773538853
6,5.401701944939633,8.956851245594674,0.2172551247562077,0.04840374098601916,0.37192713781028774,0.08394150409504031,0.0026765441853703323,0.0002993727970314344,1.0026801293276422,1.0002994176135394
7,5.1089166123816305,8.813391675754469,0.22487426517491646,0.048733703792095184,0.3782456709032363,0.0842232772855894,0.0030333839520169685,0.00029790760049925035,1.0030379893165529,1.0002979519793753
8,4.949148939856401,8.711554822467622,0.23030774945274313,0.04908692852613774,0.3831146314528817,0.08458065178166045,0.0032211787138358814,0.0003142023509853777,1.0032263722849655,1.0003142517177144
9,4.839328748114566,8.647314788532906,0.23412532428054944,0.049237634246865065,0.38769962702025756,0.08467068945896541,0.003373681872683505,0.0003127585782781772,1.003379379142496,1.0003128074923415
10,4.758948898484521,8.585791840845225,0.23742004473370018,0.049252596677195094,0.3915006249403277,0.08487735820788864,0.0035010483914718745,0.00032546823249439584,1.0035071842199128,1.0003255212030262
