step,crossentropy,val crossentropy,accuracy,val accuracy,top_k,val top_k
1,26.341411417944325,5.348920729622912,0.10891729220018928,0.03933158024066582,0.21716016461004717,0.07953920009784736
2,5.148521567044193,5.108183188224906,0.17043396801397992,0.045272749522427526,0.31822200740620116,0.08459821430904291
3,5.053468670630409,5.084464457497668,0.17565881800628222,0.04568860077694671,0.32732952970814566,0.0851486056984754
4,5.03478234434781,5.081208503068383,0.17724205285252423,0.04577574609193783,0.3294115797880811,0.08545284979264096
5,5.028419914544212,5.080128666180284,0.17793047189012665,0.046049412915851275,0.3302260841408821,0.0855109466498612
6,5.018313254862149,5.076865306541102,0.17806085521344336,0.046070817019608155,0.3304481993332768,0.085570572407045
7,5.014684884282241,5.069971671744959,0.1784430714561048,0.0462940313111546,0.331007739394145,0.08595125980806444
8,5.01281289718389,5.072375642719553,0.1786256756509587,0.04623440558313157,0.33122092088841176,0.08587940314277977
9,5.011402575237177,5.074417146284189,0.17873398560133932,0.04619159734645702,0.3313598081090446,0.08581060421910071
10,5.010241219208899,5.079315601889767,0.1788327171086332,0.04617936643835616,0.33153627226730614,0.08573874755381605
