step,crossentropy,val crossentropy,accuracy,val accuracy,top_k,val top_k,f_score,val f_score,preplexite,val preplexite
1,15.88552216036508,5.086453189655226,0.14034271495418413,0.04647541729718473,0.24892563492509254,0.08452436494531099,0.00047353466424022734,0.00013151169021055267,1.0004736467994786,1.000131520338252
2,5.0505152108294835,5.039160249995536,0.17995705721964325,0.04746486623412016,0.32892855779724833,0.08575522974992919,0.0005254291214181908,0.0001401187768458044,1.0005255671834785,1.0001401285939402
3,5.02495772286443,5.028733110752236,0.18129836574210037,0.04743414867368544,0.3321346067811074,0.08613229895336182,0.0005537367724592879,0.00014072586418155947,1.000553890112968,1.0001407357665304
4,5.013145614326159,5.011883537785536,0.1822615896005385,0.04796913030830864,0.3339702550721782,0.08707659370939395,0.0005742251474962726,0.00014922111763097446,1.0005743900463178,1.0001492322516559
5,5.0038312063242545,5.01080323238762,0.1832314046379096,0.04819820827896233,0.33579965307316956,0.0873273584095905,0.0006038977404764648,0.00015372670050144374,1.0006040801234286,1.0001537385170562
6,4.981401669841587,4.9947845157311885,0.1846521484608553,0.048539662927045375,0.33782417322537917,0.08791836937550644,0.0006376841221884398,0.00017876202848383756,1.0006378874859332,1.0001787780073674
7,4.974281621169705,4.99306143546591,0.18519944506561006,0.048614707898543594,0.33898876949867107,0.08795875374363288,0.0006707968326560664,0.00017849579735984653,1.0006710218671662,1.0001785117286826
8,4.971235425893247,4.991161132345394,0.1854975262546074,0.04863671261648637,0.33945322158385294,0.08802203321044384,0.0006728381002276388,0.00018144787201709953,1.0006730645065576,1.000181464334678
9,4.968900858668384,4.99011128613738,0.1858250405424553,0.04868313873776738,0.3395849318766657,0.08803774177129013,0.0006889335968872133,0.0001813529232364419,1.0006891709661452,1.0001813693686719
10,4.966435542863983,4.9885058516547796,0.18640597499146752,0.04890223191232944,0.3399388109727993,0.08817002444322276,0.0006864551000690423,0.0001806672024639768,1.0006866907642924,1.0001806835237659
